Selected_Hidden_Layers,Selected_LR,Selected_Weight_Decay,Selected_Update_Step,Decision_Q,Demand_D,Operation_Cost
512-512-512,0.001,1e-05,80,5.034661293029785,5.329075215175177,0.22081044160904373
512-512-512,0.001,1e-05,80,6.872548580169678,6.472533730881115,0.10000371232214067
512-512-512,0.001,1e-05,80,8.56139087677002,7.740170531081284,0.20530508642218392
512-512-512,0.001,1e-05,80,8.687556266784668,8.539900452062957,0.036913953680427714
512-512-512,0.001,1e-05,80,9.580986022949219,9.33010065461769,0.06272134208288227
512-512-512,0.001,1e-05,80,7.485488414764404,7.675035060582812,0.14215998436380572
512-512-512,0.001,1e-05,80,6.446557998657227,6.1069865015003195,0.08489287428922676
512-512-512,0.001,1e-05,80,6.975677490234375,7.01785348527499,0.03163199628046098
512-512-512,0.001,1e-05,80,8.870397567749023,9.1847425288457,0.23575872082250715
512-512-512,0.001,1e-05,80,7.699854850769043,7.812300114675711,0.08433394793000115
512-512-512,0.001,1e-05,80,8.190415382385254,8.03373549949349,0.03916997072294093
512-512-512,0.001,1e-05,80,8.09476089477539,8.149558212401262,0.04109798821940336
512-512-512,0.001,1e-05,80,6.360456943511963,5.828084975230832,0.1330929920702828
512-512-512,0.001,1e-05,80,8.157978057861328,8.257451455320552,0.07460504809441826
512-512-512,0.001,1e-05,80,7.270497798919678,6.690110758526134,0.1450967600983859
512-512-512,0.001,1e-05,80,7.351277828216553,7.559712867805711,0.15632627969186874
512-512-512,0.001,1e-05,80,6.886109352111816,6.438824014125913,0.1118213344964758
512-512-512,0.001,1e-05,80,7.12770938873291,6.96605308528655,0.04041407586159007
512-512-512,0.001,1e-05,80,9.421926498413086,9.97275332727206,0.41312012164422995
512-512-512,0.001,1e-05,80,10.66777229309082,10.25383928990723,0.1034832507958976
512-512-512,0.001,1e-05,80,7.733662128448486,7.130769228750644,0.15072322492446055
512-512-512,0.001,1e-05,80,8.602412223815918,8.118419070853689,0.12099828824055736
512-512-512,0.001,1e-05,80,8.271543502807617,7.844648121822566,0.10672384524626288
512-512-512,0.001,1e-05,80,6.609433174133301,6.423351939534552,0.04652030864968726
512-512-512,0.001,1e-05,80,6.619119167327881,6.812928270265929,0.14535682720353615
512-512-512,0.001,1e-05,80,4.1663818359375,3.76563047547202,0.10018784011637005
512-512-512,0.001,1e-05,80,4.627450466156006,3.8679718873328306,0.18986964470579382
512-512-512,0.001,1e-05,80,6.6005706787109375,6.80613284524936,0.15417162490381697
512-512-512,0.001,1e-05,80,7.489447116851807,7.451447879729889,0.009499809280479443
512-512-512,0.001,1e-05,80,7.483493804931641,7.429527410979155,0.013491598488121426
512-512-512,0.001,1e-05,80,8.822772026062012,8.571137865092988,0.062908540242256
512-512-512,0.001,1e-05,80,10.346820831298828,9.782649894400768,0.14104273422451508
512-512-512,0.001,1e-05,80,4.923158645629883,4.926557116612231,0.0025488532367610173
512-512-512,0.001,1e-05,80,5.671360015869141,5.867294332663536,0.14695073759579658
512-512-512,0.001,1e-05,80,10.320262908935547,9.55810277304595,0.19054003397239905
512-512-512,0.001,1e-05,80,8.078338623046875,7.981836563222243,0.02412551495615789
512-512-512,0.001,1e-05,80,5.8852314949035645,5.356103299962517,0.13228204873526184
512-512-512,0.001,1e-05,80,8.098747253417969,7.8453437075309855,0.0633508864717458
512-512-512,0.001,1e-05,80,7.494079113006592,7.299842841355238,0.04855906791283848
512-512-512,0.001,1e-05,80,5.409304618835449,5.180468130364872,0.057209122117644284
512-512-512,0.001,1e-05,80,6.41197395324707,6.148627175657532,0.06583669439738449
512-512-512,0.001,1e-05,80,7.153550148010254,7.92314456248744,0.5771958108578898
512-512-512,0.001,1e-05,80,8.053868293762207,7.73965920973153,0.07855227100766915
512-512-512,0.001,1e-05,80,5.70277214050293,5.23618662662262,0.11664637847007753
512-512-512,0.001,1e-05,80,8.91626262664795,8.712942234714355,0.05083009798339866
512-512-512,0.001,1e-05,80,6.160303115844727,6.052790187540888,0.02687823207595974
512-512-512,0.001,1e-05,80,6.2647480964660645,6.200681164741036,0.01601673293125705
512-512-512,0.001,1e-05,80,6.74854040145874,6.28864494615065,0.11497386382702257
512-512-512,0.001,1e-05,80,5.269495964050293,4.929051408400873,0.08511113891235489
512-512-512,0.001,1e-05,80,5.882877349853516,5.949646756939505,0.05007705531449225
512-512-512,0.001,1e-05,80,9.704068183898926,9.784255258461831,0.06014030592217923
512-512-512,0.001,1e-05,80,8.18057632446289,8.278465286891365,0.0734167218213555
512-512-512,0.001,1e-05,80,7.261264801025391,7.694635208023094,0.32502780524827735
512-512-512,0.001,1e-05,80,7.2462968826293945,7.473079942932677,0.1700872952274619
512-512-512,0.001,1e-05,80,8.518110275268555,8.049930222591845,0.11704501316917737
512-512-512,0.001,1e-05,80,10.393852233886719,9.792401826933649,0.15036260173826754
512-512-512,0.001,1e-05,80,5.369897365570068,5.026762453751652,0.0857837279546041
512-512-512,0.001,1e-05,80,6.754792213439941,6.40454483653563,0.08756184422607793
512-512-512,0.001,1e-05,80,6.481320381164551,6.47696280610354,0.0010893937652527441
512-512-512,0.001,1e-05,80,7.239433288574219,7.224497586148889,0.0037339256063324555
512-512-512,0.001,1e-05,80,5.362812519073486,4.909628647297251,0.11329596794405883
512-512-512,0.001,1e-05,80,10.128118515014648,10.03901359859842,0.022276229104057244
512-512-512,0.001,1e-05,80,9.43636703491211,9.269294098250343,0.04176823416544151
512-512-512,0.001,1e-05,80,5.10197114944458,4.927308820725655,0.04366558217973138
512-512-512,0.001,1e-05,80,9.223138809204102,9.427517450075932,0.15328398065387283
512-512-512,0.001,1e-05,80,5.995811462402344,5.904436277516788,0.02284379622138899
512-512-512,0.001,1e-05,80,6.7252960205078125,6.545381768494493,0.04497856300332992
512-512-512,0.001,1e-05,80,9.537467956542969,9.258993033740795,0.06961873070054336
512-512-512,0.001,1e-05,80,6.727550506591797,6.607968479698363,0.02989550672335839
512-512-512,0.001,1e-05,80,7.837993144989014,7.835623361595139,0.0005924458484687367
512-512-512,0.001,1e-05,80,5.415596008300781,5.121173041274011,0.07360574175669266
512-512-512,0.001,1e-05,80,8.392793655395508,8.336333975679274,0.014114919929058445
512-512-512,0.001,1e-05,80,7.740357398986816,7.679556180332242,0.015200304663643527
512-512-512,0.001,1e-05,80,9.261514663696289,9.326668853442053,0.048865642309322777
512-512-512,0.001,1e-05,80,6.394275665283203,6.131088977580193,0.06579667192575256
512-512-512,0.001,1e-05,80,8.041126251220703,7.240828845479657,0.20007435143526142
512-512-512,0.001,1e-05,80,10.408227920532227,10.003333628624484,0.10122357297693574
512-512-512,0.001,1e-05,80,8.465757369995117,8.279178285951478,0.04664477101090991
512-512-512,0.001,1e-05,80,3.892130136489868,3.6528046536937406,0.05983137069903188
512-512-512,0.001,1e-05,80,7.741234302520752,7.934489789633444,0.1449416153345191
512-512-512,0.001,1e-05,80,7.157637596130371,7.070801280218552,0.02170907897795482
512-512-512,0.001,1e-05,80,5.057921886444092,5.165814165224776,0.08091920908551331
512-512-512,0.001,1e-05,80,4.451130390167236,4.206506972408657,0.061155854439644886
512-512-512,0.001,1e-05,80,8.330671310424805,7.529863234272223,0.2002020190381455
512-512-512,0.001,1e-05,80,7.201653957366943,6.789456372444819,0.103049396230531
512-512-512,0.001,1e-05,80,8.007381439208984,7.541355642076928,0.11650644928301412
512-512-512,0.001,1e-05,80,5.012766361236572,4.867087638741699,0.036419680623718254
512-512-512,0.001,1e-05,80,9.002453804016113,8.567093987656602,0.1088399540898779
512-512-512,0.001,1e-05,80,7.050502777099609,7.2577563768249,0.15544019979396784
512-512-512,0.001,1e-05,80,8.267251014709473,8.171916101523657,0.023833728296454026
512-512-512,0.001,1e-05,80,6.991408348083496,7.220822485771568,0.17206060326605388
512-512-512,0.001,1e-05,80,8.396621704101562,8.313587335843007,0.020758592064638925
512-512-512,0.001,1e-05,80,8.218568801879883,7.888601512498619,0.08249182234531593
512-512-512,0.001,1e-05,80,10.242327690124512,9.728637542485757,0.12842253690968874
512-512-512,0.001,1e-05,80,5.198302268981934,4.433492603977467,0.19120241625111656
512-512-512,0.001,1e-05,80,5.7438645362854,5.944229841958153,0.15027397925456443
512-512-512,0.001,1e-05,80,6.869575500488281,6.9449813295672405,0.056554371809219406
512-512-512,0.001,1e-05,80,10.5684232711792,10.501269658159208,0.016788403254997863
512-512-512,0.001,1e-05,80,8.053281784057617,8.21092307880978,0.11823097106412161
512-512-512,0.001,1e-05,80,6.964573383331299,6.718551540187634,0.06150546078591623
512-512-512,0.001,1e-05,80,5.331250190734863,5.204344071102162,0.03172652990817526
512-512-512,0.001,1e-05,80,9.250663757324219,8.936044832401697,0.07865473123063049
512-512-512,0.001,1e-05,80,7.849237442016602,7.890258792512101,0.030766012871624282
512-512-512,0.001,1e-05,80,6.37721061706543,6.287746912076499,0.02236592624723266
512-512-512,0.001,1e-05,80,9.704238891601562,9.658839650936748,0.011349810166203511
512-512-512,0.001,1e-05,80,7.482903480529785,7.559080825162532,0.05713300847456004
512-512-512,0.001,1e-05,80,7.255037307739258,7.1012411762040495,0.03844903288380208
512-512-512,0.001,1e-05,80,7.227789878845215,7.625310537188579,0.29814049375752294
512-512-512,0.001,1e-05,80,7.337096691131592,7.179306138659614,0.039447638117994455
512-512-512,0.001,1e-05,80,8.373519897460938,7.932978776232196,0.11013528030718533
512-512-512,0.001,1e-05,80,7.084405899047852,6.833440453613339,0.06274136135862807
512-512-512,0.001,1e-05,80,7.544796943664551,7.1087375672299675,0.10901484410864581
512-512-512,0.001,1e-05,80,5.71796989440918,5.337147288820648,0.09520565139713288
512-512-512,0.001,1e-05,80,7.867806434631348,8.062296572562555,0.14586760344840588
512-512-512,0.001,1e-05,80,8.225894927978516,7.674607867067283,0.1378217652278082
512-512-512,0.001,1e-05,80,6.730022430419922,6.3138030518608454,0.1040548446397691
512-512-512,0.001,1e-05,80,8.7388916015625,8.619083636215194,0.029951991336826467
512-512-512,0.001,1e-05,80,7.112236976623535,6.968890540498182,0.03583660903133823
512-512-512,0.001,1e-05,80,8.500946998596191,8.593277803715482,0.06924810383946811
512-512-512,0.001,1e-05,80,6.367798805236816,6.413046992364659,0.033936140345882215
512-512-512,0.001,1e-05,80,7.407196998596191,7.764830522575664,0.26822514298460476
512-512-512,0.001,1e-05,80,7.057591438293457,7.071637343840947,0.010534429160617309
512-512-512,0.001,1e-05,80,5.872773170471191,5.703222881756771,0.042387572178605115
512-512-512,0.001,1e-05,80,6.420012474060059,6.5935089666590425,0.13012236944923794
512-512-512,0.001,1e-05,80,5.609140396118164,4.7650573916820145,0.2110207511090374
512-512-512,0.001,1e-05,80,6.037125587463379,6.22265015045678,0.13914342224505094
512-512-512,0.001,1e-05,80,4.253468036651611,3.3517426948348925,0.2254313354541797
512-512-512,0.001,1e-05,80,8.213330268859863,7.984525216582525,0.057201263069334596
512-512-512,0.001,1e-05,80,5.0797929763793945,5.111125145727951,0.02349912701141732
512-512-512,0.001,1e-05,80,7.963600158691406,7.66638192531785,0.074304558343389
512-512-512,0.001,1e-05,80,7.442770004272461,6.941181167614595,0.1253972091644664
512-512-512,0.001,1e-05,80,5.394153118133545,5.058276718761026,0.08396909984312972
512-512-512,0.001,1e-05,80,6.434051513671875,6.928150997382676,0.37057461278310044
512-512-512,0.001,1e-05,80,6.260059356689453,5.668825577418778,0.14780844481766886
512-512-512,0.001,1e-05,80,6.568686008453369,6.590582892306254,0.016422662889663764
512-512-512,0.001,1e-05,80,7.039951324462891,6.915748106038296,0.03105080460614862
512-512-512,0.001,1e-05,80,6.771893501281738,6.9148483222598776,0.10721611573360446
512-512-512,0.001,1e-05,80,5.2804365158081055,5.475450188368613,0.14626025442038038
512-512-512,0.001,1e-05,80,8.547921180725098,8.235137634755603,0.07819588649237375
512-512-512,0.001,1e-05,80,7.8610687255859375,7.633900723004881,0.05679200064526402
512-512-512,0.001,1e-05,80,5.340446472167969,5.100331251044146,0.060028805280955666
512-512-512,0.001,1e-05,80,6.313705921173096,6.2843902992624585,0.007328905477659298
512-512-512,0.001,1e-05,80,5.334794521331787,5.014334652826642,0.08011496712628619
512-512-512,0.001,1e-05,80,6.989875793457031,7.029409572359887,0.02965033417714169
512-512-512,0.001,1e-05,80,6.572822570800781,6.3913188605322535,0.045375927567131935
512-512-512,0.001,1e-05,80,8.180366516113281,7.907633956594823,0.06818313987961466
512-512-512,0.001,1e-05,80,8.342222213745117,8.34142661149552,0.0001989005623994622
512-512-512,0.001,1e-05,80,8.176297187805176,7.875396417983257,0.07522519245547965
512-512-512,0.001,1e-05,80,9.038090705871582,8.316837984087261,0.18031318044608025
512-512-512,0.001,1e-05,80,7.503499984741211,7.48525469012796,0.004561323653312632
512-512-512,0.001,1e-05,80,7.575293064117432,7.13726528552795,0.10950694464737043
512-512-512,0.001,1e-05,80,4.913549900054932,4.495347457276103,0.10455061069470717
512-512-512,0.001,1e-05,80,10.103496551513672,9.648879222384291,0.11365433228234512
512-512-512,0.001,1e-05,80,9.125398635864258,9.221354175413484,0.07196665466191998
512-512-512,0.001,1e-05,80,6.15297794342041,5.896657263510767,0.06408016997741073
512-512-512,0.001,1e-05,80,7.113248825073242,7.074054391077113,0.009798608499032246
512-512-512,0.001,1e-05,80,7.710132122039795,7.705180181198459,0.001237985210333914
512-512-512,0.001,1e-05,80,6.8177056312561035,6.465000606566207,0.08817625617247415
512-512-512,0.001,1e-05,80,7.2176313400268555,7.50987520342832,0.2191828975510981
512-512-512,0.001,1e-05,80,7.933859348297119,7.705379791798987,0.05711988912453303
512-512-512,0.001,1e-05,80,6.413440227508545,6.557356837982711,0.1079374578556247
512-512-512,0.001,1e-05,80,8.249908447265625,6.970596651659168,0.31982794890161426
512-512-512,0.001,1e-05,80,6.001928329467773,5.904125097661062,0.024450807951677866
