Selected_Bandwidth,Decision_Q,Demand_D,Operation_Cost
0.15,7.447804440247383,6.661980476426727,0.19645599095516397
0.15,6.62649247870526,5.643284310796498,0.24580204197719047
0.15,8.14150180036674,8.163530601988091,0.016521601216013426
0.15,8.912027137787899,8.207654697199278,0.17609311014715523
0.15,7.972792065824933,7.81597695268598,0.03920377828473831
0.15,8.851245918374373,6.717952557128586,0.5333233403114466
0.15,6.322437433017505,6.040312290127126,0.07053128572259482
0.15,6.519064402776793,5.079801471279136,0.35981573287441426
0.15,5.911261725646261,5.88391868820684,0.0068357593598551425
0.15,6.659457827703806,6.826071017227962,0.1249598921431172
0.15,7.1663234451693345,5.296240498009627,0.4675207367899268
0.15,6.939727514957223,5.345884632590855,0.398460720591592
0.15,7.195629061420549,6.2914005145098875,0.22605713672766536
0.15,7.596622721526344,7.394663129961495,0.050489897891212276
0.15,7.525147306726422,7.660090058088098,0.10120706352125741
0.15,9.00660773716247,9.708827174581812,0.5266645780645058
0.15,8.354987893119002,9.092524867717092,0.5531527309485673
0.15,8.70155314409314,8.249923448925072,0.1129074237920169
0.15,8.456939950037139,8.708259515677845,0.18848967423052976
0.15,9.115364076232876,8.68232854812583,0.1082588820267616
0.15,6.929930776520508,5.850950346805606,0.2697451074287256
0.15,7.143485809382478,7.41474905098939,0.20344743120518438
0.15,8.43249351058286,7.838990967939443,0.14837563566085432
0.15,7.86181158600249,8.634908343101115,0.5798225678239683
0.15,7.802771697237004,7.0740679244304605,0.18217594320163588
0.15,9.121805845145648,9.179613200674677,0.04335551664677162
0.15,9.449875180727975,9.30511618543114,0.03618974882420867
0.15,8.338622405961516,8.294566225301626,0.011014045164972508
0.15,10.151704039675206,10.129625264787462,0.005519693721935948
0.15,7.475969380334138,6.995105523362541,0.12021596424289904
0.15,6.65302210578736,6.73075294880473,0.05829813226302716
0.15,8.98927406562059,9.165253099983572,0.13198427577223626
0.15,5.451519822071554,4.560307414007932,0.22280310201590559
0.15,7.681215711783437,5.930925581024439,0.4375725326897497
0.15,7.721014327556849,9.343898034107305,1.2171627799128422
0.15,8.652325769619875,7.77546210256344,0.2192159167641088
0.15,7.390588151478907,6.821299137825413,0.14232225341337346
0.15,7.119644880119163,5.709310994092893,0.35258347150656766
0.15,9.534184459126704,9.92277065115978,0.2914396440248068
0.15,6.300665602410067,5.823182818037623,0.11937069609311113
0.15,8.789016135615741,8.856242000443562,0.05041939862086542
