Selected_Sigma,Selected_Lambda,Decision_Q,Demand_D,Operation_Cost
1.0,1e-06,10.033691461545954,10.063180708469172,0.022116935192413312
1.0,1e-06,7.255283703293138,7.167780962928997,0.021875685091035324
1.0,1e-06,9.82487644615048,9.360139710210126,0.11618418398508856
1.0,1e-06,5.633511923136817,5.214065083900692,0.1048617098090312
1.0,1e-06,8.150982624519797,8.005710428642736,0.03631804896926516
1.0,1e-06,6.463680624219452,6.367223200070095,0.024114356037339357
1.0,1e-06,5.965597351182211,5.637716429185254,0.08197023049923935
1.0,1e-06,7.034792406565993,7.021262370702517,0.003382508965869002
1.0,1e-06,8.292716860019345,8.421224973891182,0.09638108540387735
1.0,1e-06,6.246010920013969,5.826998466402868,0.10475311340277527
1.0,1e-06,5.9116874948205815,6.5113307078314495,0.449732409758151
1.0,1e-06,8.59305681148988,8.325854721652671,0.06680052245930224
1.0,1e-06,4.740285190939856,4.24647671993797,0.12345211775047149
1.0,1e-06,8.253400317822676,8.244184584577935,0.002303933311185169
1.0,1e-06,5.347978210606918,5.521015704343731,0.12977812030260982
1.0,1e-06,6.988497794998585,7.112157522316372,0.09274479548834047
1.0,1e-06,6.972490509600503,5.79192276915107,0.2951419351123581
1.0,1e-06,9.395640143595092,8.930973738215044,0.11616660134501178
1.0,1e-06,6.715140782753968,6.926613526533769,0.15860455783485072
1.0,1e-06,5.273232333746371,4.863103450560322,0.10253222079651225
1.0,1e-06,9.145924163817984,9.20371892345921,0.04334606973091937
1.0,1e-06,7.630903903851818,7.534968957852194,0.02398373649990604
1.0,1e-06,9.453101990855089,9.41599356909167,0.009277105440854694
1.0,1e-06,7.673894304997187,7.498465049017025,0.04385731399504067
1.0,1e-06,8.256151748508659,8.334925452192333,0.05908027776275615
1.0,1e-06,5.104340266509264,5.686519130049538,0.43663414765520536
1.0,1e-06,7.268079383082128,6.744325130537902,0.13093856313605645
1.0,1e-06,8.331414632399216,8.091876051869274,0.05988464513248548
1.0,1e-06,7.578960418868812,7.388281596056973,0.04766970570295981
1.0,1e-06,6.4843087494913885,6.371187508374849,0.028280310279134913
1.0,1e-06,10.186587128717564,9.670528965938592,0.12901454069474294
1.0,1e-06,6.85162994862592,6.602581797836474,0.062262037697361494
1.0,1e-06,8.163134016711666,7.922301057275737,0.06020823985898227
1.0,1e-06,6.179721077799554,6.137226500683507,0.010623644279011746
1.0,1e-06,7.930657273434228,7.917405277567561,0.0033129989666667026
1.0,1e-06,6.829034743818128,6.764478769850819,0.016138993491827236
1.0,1e-06,4.977975439615198,5.129359660990154,0.11353816603121691
1.0,1e-06,6.294563520583795,6.228915263709049,0.016412064218686462
1.0,1e-06,7.585387129256883,7.037746242392048,0.1369102217162088
