Selected_Bandwidth,Decision_Q,Demand_D,Operation_Cost,Effective_N
0.5,1.2288631065250621,1.5502210000995644,0.2410184201808767,3000.0
0.5,1.1955480708558368,0.7970096643005277,0.09963460163882729,3000.0
0.5,1.5592086375299004,1.3777560157887678,0.04536315543528313,3000.0
0.5,1.9159863549086376,1.7478768213084106,0.04202738340005674,3000.0
0.5,1.7344788440430416,1.4671818763988311,0.06682424191105263,3000.0
0.5,1.6345224294921628,1.2392209755774173,0.09882536347868637,3000.0
0.5,1.4152036206088336,1.387512037675256,0.006922895733394385,3000.0
0.5,0.9442660215317272,0.9244769945098704,0.004947256755464202,3000.0
0.5,1.465298162487553,0.8372253006977253,0.15701821544745692,3000.0
0.5,1.3610539629370249,1.01073784177551,0.08757903029037872,3000.0
0.5,1.8774303741989649,1.8130411568298792,0.016097304342271412,3000.0
0.5,0.7646412803011132,0.0168927108952871,0.18693714235145653,3000.0
0.5,1.8154513456042976,1.5491543840276545,0.06657424039416077,3000.0
0.5,1.3054501563509215,1.124236132724706,0.04530350590655391,3000.0
0.5,1.4479320180632413,1.407166666269384,0.01019133794846433,3000.0
0.5,2.0349984809540005,1.641314037234249,0.09842111092993788,3000.0
0.5,1.3500666314268268,1.352994306843871,0.0021957565627831466,3000.0
0.5,2.302397170707055,1.9916992890116971,0.07767447042383951,3000.0
0.5,1.761849576572647,1.4568408682362806,0.0762521770840916,3000.0
0.5,1.3176889582156635,1.2026688837714627,0.028755018611050176,3000.0
0.5,1.7837709256664873,2.041089024159073,0.19298857386943918,3000.0
0.5,1.1927567837444615,1.145749769470371,0.011751753568522594,3000.0
0.5,1.1782043171813272,1.0339578648036083,0.036061613094429734,3000.0
0.5,1.826227729252585,1.4959713442220948,0.08256409625762257,3000.0
0.5,2.57774005835775,2.2422301395443407,0.08387747970335235,3000.0
0.5,1.808327868679998,1.6706251368406713,0.03442568295983167,3000.0
0.5,1.1449524027938034,0.8443836435572442,0.07514218980913981,3000.0
0.5,1.6009343566821868,1.7395160728417245,0.1039362871196533,3000.0
0.5,1.387183857541379,1.1295118960843278,0.06441799036426282,3000.0
0.5,1.5514888049410076,1.4398979533440324,0.02789771289924381,3000.0
0.5,2.038359881238111,2.008474429067366,0.007471363042686252,3000.0
